Date,Median Sales Price,Household Estimates,Real GDP per Capita,Unemployment Rate
1964-01-01,18500,55976,19233,6.2
1964-04-01,18900,56233,19401,5.3
1964-07-01,18900,56647,19593,4.7
1964-10-01,19400,56875,19593,4.5
1965-01-01,20200,56996,20021,5.4
1965-04-01,19800,57459,20240,4.8
1965-07-01,20200,57847,20582,4.2
1965-10-01,20300,57850,20999,3.7
1966-01-01,21000,57886,21464,4.2
1966-04-01,22100,58646,21496,4.0
1966-07-01,21500,58925,21583,3.6
1966-10-01,21400,58695,21701,3.4
1967-01-01,22300,58722,21847,4.1
1967-04-01,23300,59143,21812,3.8
1967-07-01,22500,60133,21939,3.8
1967-10-01,22900,60133,22053,3.7
1968-01-01,23900,60456,22454,4.0
1968-04-01,24900,60739,22781,3.5
1968-07-01,24800,61196,22883,3.6
1968-10-01,25600,61423,22923,3.2
1969-01-01,25700,61759,23231,3.6
1969-04-01,25900,62142,23252,3.4
1969-07-01,25900,62462,23332,3.7
1969-10-01,24900,62780,23162,3.3
1970-01-01,23900,62881,23064,4.5
1970-04-01,24400,63529,23033,4.7
1970-07-01,23000,64070,23159,5.2
1970-10-01,22600,64286,22841,5.4
1971-01-01,24300,64547,23381,6.5
1971-04-01,25800,64965,23447,5.8
1971-07-01,25300,65314,23557,6.0
1971-10-01,25500,65837,23554,5.5
1972-01-01,26200,66647,23919,6.3
1972-04-01,26800,66856,24415,5.6
1972-07-01,27900,67300,24576,5.6
1972-10-01,29200,67728,24918,4.9
1973-01-01,30200,68264,25477,5.4
1973-04-01,32700,68450,25708,4.9
1973-07-01,33500,69123,25505,4.8
1973-10-01,34000,69510,25680,4.5
1974-01-01,35200,69714,25415,5.6
1974-04-01,35600,70369,25427,5.1
1974-07-01,36200,70897,25117,5.6
1974-10-01,37200,71252,24952,6.1
1975-01-01,38100,71208,24601,9.1
1975-04-01,39000,71607,24731,8.7
1975-07-01,38800,72068,25065,8.3
1975-10-01,41200,72585,25338,7.8
1976-01-01,42800,72707,25854,8.5
1976-04-01,44200,73173,25994,7.4
1976-07-01,44400,73588,26059,7.6
1976-10-01,45500,73989,26186,7.3
1977-01-01,46300,74298,26429,8.2
1977-04-01,48900,74397,26883,6.9
1977-07-01,48800,74929,27282,6.8
1977-10-01,51600,75519,27207,6.3
1978-01-01,53000,75882,27238,6.9
1978-04-01,55300,76308,28225,5.8
1978-07-01,56100,76689,28418,6.0
